ticker,early_ai,lit_score,reasoning
EGAN,70.0,78,"Per Eloundou et al., eGain's core functions—knowledge management, conversational AI, customer Q&A automation, and content synthesis—are high E1 exposure tasks where LLMs reduce time 50%+; Brynjolfsson confirms written communication and information synthesis are LLM-suitable; however, score below 80 reflects some integration complexity with enterprise CRM/contact center systems and compliance workflows that require judgment (Acemoglu's non-automatable elements), though the primary value proposition of knowledge delivery and customer interaction automation is highly replicable by modern LLMs."
ZIP,70.0,82,"Per Eloundou et al., ZipRecruiter's core functions—job-candidate matching, resume parsing, job description analysis, and recommendation systems—are quintessential E1 tasks where LLMs excel at text classification, semantic matching, and natural language processing; Brynjolfsson's framework confirms written communication and information synthesis are highly LLM-suitable, and while ZipRecruiter touts proprietary data and network effects, the underlying matching algorithms and NLP capabilities are now commoditized through foundation models, making the core product value highly replicable by LLMs without the accumulated marketplace data being a sufficient moat."
LPSN,70.0,72,"Per Eloundou et al., LivePerson's core value proposition—conversational AI, chatbots, text-based customer messaging, and intent detection—falls squarely into E1 tasks (text generation, classification, knowledge Q&A) where LLMs reduce time by 50%+; Brynjolfsson's framework confirms written communication and information synthesis are highly LLM-suitable, making their bot-building platform and messaging automation increasingly replicable by foundation models, though their enterprise integrations, multi-channel orchestration infrastructure, and established brand relationships provide some E0 protection against pure LLM displacement."
ASAN,70.0,62,"Per Eloundou et al., Asana's core value proposition—task assignment, status tracking, project coordination, and reducing 'work about work'—involves text-based workflow management and communication synthesis that LLMs can substantially replicate through natural language interfaces for task creation, status queries, and deadline tracking; however, per Acemoglu & Restrepo, the proprietary 'Work Graph' data model, cross-functional organizational context, and accumulated team relationship data represent non-trivial switching costs and judgment-dependent coordination that partially resist pure LLM replacement."
AEYE,65.0,72,"Per Eloundou et al., AudioEye's core value—automated detection and remediation of web accessibility errors, text classification of WCAG violations, and machine-learning-driven content analysis—falls squarely into E1 tasks where LLMs excel at text processing, classification, and code generation; however, the manual expert testing, legal compliance interpretation, and integration with diverse CMS platforms represent non-trivial E0 elements requiring specialized judgment per Acemoglu & Restrepo, preventing a higher score."
EXFY,65.0,72,"Per Eloundou et al., Expensify's core functions—receipt scanning/transcription, expense categorization, document processing, and approval workflows—are high E1 exposure tasks where LLMs excel at text extraction, classification, and structured data generation; however, Acemoglu & Restrepo note that payment processing, bank integrations, corporate card reconciliation, and regulatory compliance require specialized financial infrastructure that remains non-automatable, keeping this from pure E1 territory."
MCHX,65.0,72,"Per Eloundou et al., Marchex's core offerings—call analytics, conversation transcription, AI-powered speech recognition, and text analysis—are primarily E1 tasks involving text generation, classification, and knowledge extraction where LLMs reduce time 50%+; however, scoring lower than pure E1 because Brynjolfsson notes that their proprietary call data integrations, real-time telephony infrastructure, and established enterprise relationships with platforms like Salesforce/Google provide some defensibility beyond pure text processing."
BLIN,65.0,72,"Per Eloundou et al., core offerings (web content management, SEO audits, site search, marketing automation) are primarily E1 text/content tasks where LLMs reduce time 50%+; Brynjolfsson's written communication and information synthesis criteria apply directly to content management and SEO recommendations; however, scores below 80 due to some E0 elements including eCommerce transaction processing, Salesforce-native integrations, and multi-source data federation that require specialized system integration beyond pure LLM capability."
SKIL,65.0,78,"Per Eloundou et al., Skillsoft's core value proposition—digital learning content delivery, course recommendations, and knowledge Q&A—falls squarely into E1 tasks where LLMs excel at text generation, summarization, and information synthesis; Brynjolfsson's framework confirms written communication and document processing are highly LLM-suitable, and while Percipio's AI-driven platform and coaching (Pluma) add some complexity, the fundamental corporate training content library and learning management functions could be substantially replicated by LLM-generated curricula, personalized learning paths, and interactive tutoring."
BL,60.0,52,"BlackLine automates accounting reconciliation and financial close processes—tasks involving document processing and data matching that Eloundou classifies as E1-exposed; however, per Acemoglu, core value derives from deep ERP integrations (30+ systems), proprietary reconciliation logic, regulatory compliance workflows, and financial control requirements that demand complex judgment and audit trails beyond simple LLM text generation, placing it in mixed E0/E1 territory where automation exists but specialized domain integration creates non-replicable moats."
