ticker,early_ai,agentic_ai,reasoning
ADBE,55,75,Creative tools partially replicable; complex workflows protect
ADP,15,25,"Payroll/HR requires regulatory compliance, tax infrastructure"
ADSK,10,20,"CAD/3D engineering requires precision tools, not text"
AEYE,65,85,Web accessibility scanning highly automatable by AI
AGYS,15,25,"Hospitality POS/PMS requires hardware, real-time ops"
AI,40,65,Enterprise AI platform increasingly commoditized by LLMs
ALKT,10,20,"Digital banking requires FI integration, regulatory compliance"
APPF,25,45,Property management partially replicable; payments less so
APPN,55,80,Low-code workflow builder highly replicable by AI agents
ASAN,70,85,Task/project management directly replicable by AI agents
AVPT,15,30,M365 governance requires deep platform integration
AWRE,10,15,Biometric authentication requires specialized hardware
BAND,10,15,CPaaS requires own telecom network infrastructure
BB,10,20,Endpoint security requires kernel-level real-time ops
BILL,55,70,Financial ops automation replicable; payment rails less so
BKYI,10,15,Biometric IAM requires hardware identity infrastructure
BL,60,75,Financial close automation highly replicable by AI
BLIN,65,85,Web CMS eCommerce content highly replicable by AI
BLKB,45,65,Nonprofit CRM fundraising partially replicable
BLZE,10,15,Cloud storage requires physical data centers
BOX,40,65,Content management replicable; security/compliance less so
BRZE,50,75,Customer engagement campaigns increasingly automatable
BSY,10,20,Infrastructure engineering CAD requires domain precision
CACI,15,25,Defense IT requires clearances and domain expertise
CCLD,35,55,Healthcare IT partially replicable; EHR compliance less so
CDLX,30,55,Purchase analytics needs proprietary FI data access
CDNS,10,15,EDA chip design requires extreme precision tools
CEVA,10,15,IP/DSP licensing for hardware not replicable by AI
CFLT,10,20,Real-time data streaming requires low-level infrastructure
CLVT,50,70,Research analytics intelligence partially commoditized
CREX,35,60,Digital signage content partially replicable; hardware less so
CRM,50,70,CRM partially replicable; deep ecosystem integrations protect
CRNC,45,65,Automotive voice AI increasingly commoditized by LLMs
CRWD,10,20,"Real-time threat detection needs kernel agents, threat intel"
CSGS,20,35,Telecom billing needs deep carrier system integrations
CVLT,10,20,Enterprise data protection requires infrastructure ops
CXM,55,75,Unified CXM social channels increasingly automatable
DBX,20,45,File storage has infrastructure moat; collaboration replicable
